source,Teff,logg,logL,Mass,Mass_std,R_Rsun,n_points,filename
PHOENIX,8600,3.5,2.069999933242798,2.7019999027252197,0.5123559246334138,4.88071364034774,346,atlas-or-phoenix-086-35.txt
PHOENIX,8600,4.0,1.375,1.9800000190734863,0.4085967680721993,2.1927209246387336,346,atlas-or-phoenix-086-40.txt
PHOENIX,8600,4.5,1.0499999523162842,1.7990000247955322,0.2680235173350519,1.5082847401380097,346,atlas-or-phoenix-086-45.txt
PHOENIX,8800,2.0,4.15500020980835,9.79699993133545,2.769911329487191,51.40614348402336,346,atlas-or-phoenix-088-20.txt
PHOENIX,8800,2.5,3.503000020980835,6.201000213623047,1.82293834185016,24.266935157172398,346,atlas-or-phoenix-088-25.txt
PHOENIX,8800,3.0,2.744999885559082,3.8340001106262207,1.034981271962651,10.139460833267123,346,atlas-or-phoenix-088-30.txt
PHOENIX,8800,3.5,2.0859999656677246,2.7039999961853027,0.5277208477573876,4.748045827096896,346,atlas-or-phoenix-088-35.txt
PHOENIX,8800,4.0,1.4980000257492065,2.122999906539917,0.40814104478430513,2.412764487643755,346,atlas-or-phoenix-088-40.txt
PHOENIX,8800,4.5,1.0989999771118164,1.8489999771118164,0.2729174618994767,1.5241050698477245,346,atlas-or-phoenix-088-45.txt
PHOENIX,9000,2.0,4.15500020980835,9.79699993133545,3.150456301063394,49.1468117457132,346,atlas-or-phoenix-090-20.txt
PHOENIX,9000,2.5,3.507999897003174,6.201000213623047,1.9403417579703448,23.334322350578333,346,atlas-or-phoenix-090-25.txt
PHOENIX,9000,3.0,2.749000072479248,3.8340001106262207,1.0561799547409376,9.738572030902105,346,atlas-or-phoenix-090-30.txt
PHOENIX,9000,3.5,2.1570000648498535,2.9059998989105225,0.5448694994241132,4.926009862655616,346,atlas-or-phoenix-090-35.txt
PHOENIX,9000,4.0,1.559000015258789,2.177000045776367,0.40955645100454857,2.474544409138036,346,atlas-or-phoenix-090-40.txt
PHOENIX,9000,4.5,1.1299999952316284,1.8819999694824219,0.2789013977018724,1.5100636110400014,346,atlas-or-phoenix-090-45.txt
PHOENIX,9200,2.0,4.23199987411499,8.9350004196167,3.3869839233049874,51.3930681674734,346,atlas-or-phoenix-092-20.txt
PHOENIX,9200,2.5,3.507999897003174,6.201000213623047,1.942131860607132,22.33081415875289,346,atlas-or-phoenix-092-25.txt
PHOENIX,9200,3.0,2.9040000438690186,4.198999881744385,1.1306928578413185,11.140498659851431,346,atlas-or-phoenix-092-30.txt
